file,shape,n1,n2,ratio,1/ratio,area_n1,area_n2,area_ratio,per_n1,per_n2,per_ratio
square_0.9_6_7_1_incon_S1.bmp, square, 6, 7, 0.86, 1.17, 13600, 12240, 1.11, 1090, 1132, 0.96
square_0.9_6_7_1_incon_S2.bmp, square, 6, 7, 0.86, 1.17, 13600, 12240, 1.11, 1090, 1132, 0.96
square_0.9_6_7_2_incon_S1.bmp, square, 6, 7, 0.86, 1.17, 13600, 12240, 1.11, 1074, 1134, 0.95
square_0.9_6_7_2_incon_S2.bmp, square, 6, 7, 0.86, 1.17, 13600, 12240, 1.11, 1074, 1134, 0.95
square_0.9_6_7_3_incon_S1.bmp, square, 6, 7, 0.86, 1.17, 13600, 12240, 1.11, 1106, 1114, 0.99
square_0.9_6_7_3_incon_S2.bmp, square, 6, 7, 0.86, 1.17, 13600, 12240, 1.11, 1106, 1114, 0.99
square_0.9_6_7_4_incon_S1.bmp, square, 6, 7, 0.86, 1.17, 13600, 12240, 1.11, 1122, 1137, 0.99
square_0.9_6_7_4_incon_S2.bmp, square, 6, 7, 0.86, 1.17, 13600, 12240, 1.11, 1122, 1137, 0.99
square_0.9_6_7_5_incon_S1.bmp, square, 6, 7, 0.86, 1.17, 13600, 12240, 1.11, 1083, 1118, 0.97
square_0.9_6_7_5_incon_S2.bmp, square, 6, 7, 0.86, 1.17, 13600, 12240, 1.11, 1083, 1118, 0.97
square_0.9_6_7_6_incon_S1.bmp, square, 6, 7, 0.86, 1.17, 13600, 12240, 1.11, 1105, 1151, 0.96
square_0.9_6_7_6_incon_S2.bmp, square, 6, 7, 0.86, 1.17, 13600, 12240, 1.11, 1105, 1151, 0.96
square_0.9_7_8_1_incon_S1.bmp, square, 7, 8, 0.88, 1.14, 13600, 12240, 1.11, 1207, 1222, 0.99
square_0.9_7_8_1_incon_S2.bmp, square, 7, 8, 0.88, 1.14, 13600, 12240, 1.11, 1207, 1222, 0.99
square_0.9_7_8_2_incon_S1.bmp, square, 7, 8, 0.88, 1.14, 13600, 12240, 1.11, 1202, 1205, 1.0
square_0.9_7_8_2_incon_S2.bmp, square, 7, 8, 0.88, 1.14, 13600, 12240, 1.11, 1202, 1205, 1.0
square_0.9_7_8_3_incon_S1.bmp, square, 7, 8, 0.88, 1.14, 13600, 12240, 1.11, 1166, 1197, 0.97
square_0.9_7_8_3_incon_S2.bmp, square, 7, 8, 0.88, 1.14, 13600, 12240, 1.11, 1166, 1197, 0.97
square_0.9_7_8_4_incon_S1.bmp, square, 7, 8, 0.88, 1.14, 13600, 12240, 1.11, 1196, 1212, 0.99
square_0.9_7_8_4_incon_S2.bmp, square, 7, 8, 0.88, 1.14, 13600, 12240, 1.11, 1196, 1212, 0.99
square_0.9_7_8_5_incon_S1.bmp, square, 7, 8, 0.88, 1.14, 13600, 12240, 1.11, 1156, 1176, 0.98
square_0.9_7_8_5_incon_S2.bmp, square, 7, 8, 0.88, 1.14, 13600, 12240, 1.11, 1156, 1176, 0.98
square_0.9_7_8_6_incon_S1.bmp, square, 7, 8, 0.88, 1.14, 13600, 12240, 1.11, 1176, 1216, 0.97
square_0.9_7_8_6_incon_S2.bmp, square, 7, 8, 0.88, 1.14, 13600, 12240, 1.11, 1176, 1216, 0.97
square_0.9_8_9_1_incon_S1.bmp, square, 8, 9, 0.89, 1.13, 13600, 12240, 1.11, 1267, 1286, 0.99
square_0.9_8_9_1_incon_S2.bmp, square, 8, 9, 0.89, 1.13, 13600, 12240, 1.11, 1267, 1286, 0.99
square_0.9_8_9_2_incon_S1.bmp, square, 8, 9, 0.89, 1.13, 13600, 12240, 1.11, 1284, 1282, 1.0
square_0.9_8_9_2_incon_S2.bmp, square, 8, 9, 0.89, 1.13, 13600, 12240, 1.11, 1284, 1282, 1.0
square_0.9_8_9_3_incon_S1.bmp, square, 8, 9, 0.89, 1.13, 13600, 12240, 1.11, 1257, 1274, 0.99
square_0.9_8_9_3_incon_S2.bmp, square, 8, 9, 0.89, 1.13, 13600, 12240, 1.11, 1257, 1274, 0.99
square_0.9_8_9_4_incon_S1.bmp, square, 8, 9, 0.89, 1.13, 13600, 12240, 1.11, 1253, 1255, 1.0
square_0.9_8_9_4_incon_S2.bmp, square, 8, 9, 0.89, 1.13, 13600, 12240, 1.11, 1253, 1255, 1.0
square_0.9_8_9_5_incon_S1.bmp, square, 8, 9, 0.89, 1.13, 13600, 12240, 1.11, 1279, 1293, 0.99
square_0.9_8_9_5_incon_S2.bmp, square, 8, 9, 0.89, 1.13, 13600, 12240, 1.11, 1279, 1293, 0.99
square_0.9_8_9_6_incon_S1.bmp, square, 8, 9, 0.89, 1.13, 13600, 12240, 1.11, 1246, 1259, 0.99
square_0.9_8_9_6_incon_S2.bmp, square, 8, 9, 0.89, 1.13, 13600, 12240, 1.11, 1246, 1259, 0.99
square_0.9_9_10_1_incon_S1.bmp, square, 9, 10, 0.9, 1.11, 13600, 12240, 1.11, 1348, 1321, 1.02
square_0.9_9_10_1_incon_S2.bmp, square, 9, 10, 0.9, 1.11, 13600, 12240, 1.11, 1348, 1321, 1.02
square_0.9_9_10_2_incon_S1.bmp, square, 9, 10, 0.9, 1.11, 13600, 12240, 1.11, 1311, 1376, 0.95
square_0.9_9_10_2_incon_S2.bmp, square, 9, 10, 0.9, 1.11, 13600, 12240, 1.11, 1311, 1376, 0.95
square_0.9_9_10_3_incon_S1.bmp, square, 9, 10, 0.9, 1.11, 13600, 12240, 1.11, 1354, 1336, 1.01
square_0.9_9_10_3_incon_S2.bmp, square, 9, 10, 0.9, 1.11, 13600, 12240, 1.11, 1354, 1336, 1.01
square_0.9_9_10_4_incon_S1.bmp, square, 9, 10, 0.9, 1.11, 13600, 12240, 1.11, 1341, 1355, 0.99
square_0.9_9_10_4_incon_S2.bmp, square, 9, 10, 0.9, 1.11, 13600, 12240, 1.11, 1341, 1355, 0.99
square_0.9_9_10_5_incon_S1.bmp, square, 9, 10, 0.9, 1.11, 13600, 12240, 1.11, 1328, 1352, 0.98
square_0.9_9_10_5_incon_S2.bmp, square, 9, 10, 0.9, 1.11, 13600, 12240, 1.11, 1328, 1352, 0.98
square_0.9_9_10_6_incon_S1.bmp, square, 9, 10, 0.9, 1.11, 13600, 12240, 1.11, 1348, 1342, 1.0
square_0.9_9_10_6_incon_S2.bmp, square, 9, 10, 0.9, 1.11, 13600, 12240, 1.11, 1348, 1342, 1.0
square_0.9_10_11_1_incon_S1.bmp, square, 10, 11, 0.91, 1.1, 13600, 12240, 1.11, 1404, 1402, 1.0
square_0.9_10_11_1_incon_S2.bmp, square, 10, 11, 0.91, 1.1, 13600, 12240, 1.11, 1404, 1402, 1.0
square_0.9_10_11_2_incon_S1.bmp, square, 10, 11, 0.91, 1.1, 13600, 12240, 1.11, 1424, 1394, 1.02
square_0.9_10_11_2_incon_S2.bmp, square, 10, 11, 0.91, 1.1, 13600, 12240, 1.11, 1424, 1394, 1.02
square_0.9_10_11_3_incon_S1.bmp, square, 10, 11, 0.91, 1.1, 13600, 12240, 1.11, 1407, 1399, 1.01
square_0.9_10_11_3_incon_S2.bmp, square, 10, 11, 0.91, 1.1, 13600, 12240, 1.11, 1407, 1399, 1.01
square_0.9_10_11_4_incon_S1.bmp, square, 10, 11, 0.91, 1.1, 13600, 12240, 1.11, 1414, 1410, 1.0
square_0.9_10_11_4_incon_S2.bmp, square, 10, 11, 0.91, 1.1, 13600, 12240, 1.11, 1414, 1410, 1.0
square_0.9_10_11_5_incon_S1.bmp, square, 10, 11, 0.91, 1.1, 13600, 12240, 1.11, 1419, 1405, 1.01
square_0.9_10_11_5_incon_S2.bmp, square, 10, 11, 0.91, 1.1, 13600, 12240, 1.11, 1419, 1405, 1.01
square_0.9_10_11_6_incon_S1.bmp, square, 10, 11, 0.91, 1.1, 13600, 12240, 1.11, 1399, 1409, 0.99
square_0.9_10_11_6_incon_S2.bmp, square, 10, 11, 0.91, 1.1, 13600, 12240, 1.11, 1399, 1409, 0.99
square_0.9_11_12_1_incon_S1.bmp, square, 11, 12, 0.92, 1.09, 13600, 12240, 1.11, 1462, 1485, 0.98
square_0.9_11_12_1_incon_S2.bmp, square, 11, 12, 0.92, 1.09, 13600, 12240, 1.11, 1462, 1485, 0.98
square_0.9_11_12_2_incon_S1.bmp, square, 11, 12, 0.92, 1.09, 13600, 12240, 1.11, 1481, 1467, 1.01
square_0.9_11_12_2_incon_S2.bmp, square, 11, 12, 0.92, 1.09, 13600, 12240, 1.11, 1481, 1467, 1.01
square_0.9_11_12_3_incon_S1.bmp, square, 11, 12, 0.92, 1.09, 13600, 12240, 1.11, 1483, 1470, 1.01
square_0.9_11_12_3_incon_S2.bmp, square, 11, 12, 0.92, 1.09, 13600, 12240, 1.11, 1483, 1470, 1.01
square_0.9_11_12_4_incon_S1.bmp, square, 11, 12, 0.92, 1.09, 13600, 12240, 1.11, 1502, 1466, 1.02
square_0.9_11_12_4_incon_S2.bmp, square, 11, 12, 0.92, 1.09, 13600, 12240, 1.11, 1502, 1466, 1.02
square_0.9_11_12_5_incon_S1.bmp, square, 11, 12, 0.92, 1.09, 13600, 12240, 1.11, 1490, 1454, 1.02
square_0.9_11_12_5_incon_S2.bmp, square, 11, 12, 0.92, 1.09, 13600, 12240, 1.11, 1490, 1454, 1.02
square_0.9_11_12_6_incon_S1.bmp, square, 11, 12, 0.92, 1.09, 13600, 12240, 1.11, 1492, 1470, 1.01
square_0.9_11_12_6_incon_S2.bmp, square, 11, 12, 0.92, 1.09, 13600, 12240, 1.11, 1492, 1470, 1.01
square_0.75_6_8_1_incon_S1.bmp, square, 6, 8, 0.75, 1.33, 16320, 12240, 1.33, 1218, 1195, 1.02
square_0.75_6_8_1_incon_S2.bmp, square, 6, 8, 0.75, 1.33, 16320, 12240, 1.33, 1218, 1195, 1.02
square_0.75_6_8_2_incon_S1.bmp, square, 6, 8, 0.75, 1.33, 16320, 12240, 1.33, 1205, 1212, 0.99
square_0.75_6_8_2_incon_S2.bmp, square, 6, 8, 0.75, 1.33, 16320, 12240, 1.33, 1205, 1212, 0.99
square_0.75_6_8_3_incon_S1.bmp, square, 6, 8, 0.75, 1.33, 16320, 12240, 1.33, 1204, 1215, 0.99
square_0.75_6_8_3_incon_S2.bmp, square, 6, 8, 0.75, 1.33, 16320, 12240, 1.33, 1204, 1215, 0.99
square_0.75_6_8_4_incon_S1.bmp, square, 6, 8, 0.75, 1.33, 16320, 12240, 1.33, 1209, 1213, 1.0
square_0.75_6_8_4_incon_S2.bmp, square, 6, 8, 0.75, 1.33, 16320, 12240, 1.33, 1209, 1213, 1.0
square_0.75_6_8_5_incon_S1.bmp, square, 6, 8, 0.75, 1.33, 16320, 12240, 1.33, 1209, 1200, 1.01
square_0.75_6_8_5_incon_S2.bmp, square, 6, 8, 0.75, 1.33, 16320, 12240, 1.33, 1209, 1200, 1.01
square_0.75_6_8_6_incon_S1.bmp, square, 6, 8, 0.75, 1.33, 16320, 12240, 1.33, 1221, 1189, 1.03
square_0.75_6_8_6_incon_S2.bmp, square, 6, 8, 0.75, 1.33, 16320, 12240, 1.33, 1221, 1189, 1.03
square_0.75_7_9_1_incon_S1.bmp, square, 7, 9, 0.78, 1.29, 16320, 12240, 1.33, 1291, 1284, 1.01
square_0.75_7_9_1_incon_S2.bmp, square, 7, 9, 0.78, 1.29, 16320, 12240, 1.33, 1291, 1284, 1.01
square_0.75_7_9_2_incon_S1.bmp, square, 7, 9, 0.78, 1.29, 16320, 12240, 1.33, 1298, 1276, 1.02
square_0.75_7_9_2_incon_S2.bmp, square, 7, 9, 0.78, 1.29, 16320, 12240, 1.33, 1298, 1276, 1.02
square_0.75_7_9_3_incon_S1.bmp, square, 7, 9, 0.78, 1.29, 16320, 12240, 1.33, 1304, 1273, 1.02
square_0.75_7_9_3_incon_S2.bmp, square, 7, 9, 0.78, 1.29, 16320, 12240, 1.33, 1304, 1273, 1.02
square_0.75_7_9_4_incon_S1.bmp, square, 7, 9, 0.78, 1.29, 16320, 12240, 1.33, 1303, 1273, 1.02
square_0.75_7_9_4_incon_S2.bmp, square, 7, 9, 0.78, 1.29, 16320, 12240, 1.33, 1303, 1273, 1.02
square_0.75_7_9_5_incon_S1.bmp, square, 7, 9, 0.78, 1.29, 16320, 12240, 1.33, 1311, 1274, 1.03
square_0.75_7_9_5_incon_S2.bmp, square, 7, 9, 0.78, 1.29, 16320, 12240, 1.33, 1311, 1274, 1.03
square_0.75_7_9_6_incon_S1.bmp, square, 7, 9, 0.78, 1.29, 16320, 12240, 1.33, 1317, 1283, 1.03
square_0.75_7_9_6_incon_S2.bmp, square, 7, 9, 0.78, 1.29, 16320, 12240, 1.33, 1317, 1283, 1.03
square_0.75_8_11_1_incon_S1.bmp, square, 8, 11, 0.73, 1.38, 16320, 12240, 1.33, 1408, 1380, 1.02
square_0.75_8_11_1_incon_S2.bmp, square, 8, 11, 0.73, 1.38, 16320, 12240, 1.33, 1408, 1380, 1.02
square_0.75_8_11_2_incon_S1.bmp, square, 8, 11, 0.73, 1.38, 16320, 12240, 1.33, 1359, 1408, 0.97
square_0.75_8_11_2_incon_S2.bmp, square, 8, 11, 0.73, 1.38, 16320, 12240, 1.33, 1359, 1408, 0.97
square_0.75_8_11_3_incon_S1.bmp, square, 8, 11, 0.73, 1.38, 16320, 12240, 1.33, 1400, 1436, 0.97
square_0.75_8_11_3_incon_S2.bmp, square, 8, 11, 0.73, 1.38, 16320, 12240, 1.33, 1400, 1436, 0.97
square_0.75_8_11_4_incon_S1.bmp, square, 8, 11, 0.73, 1.38, 16320, 12240, 1.33, 1380, 1408, 0.98
square_0.75_8_11_4_incon_S2.bmp, square, 8, 11, 0.73, 1.38, 16320, 12240, 1.33, 1380, 1408, 0.98
square_0.75_8_11_5_incon_S1.bmp, square, 8, 11, 0.73, 1.38, 16320, 12240, 1.33, 1389, 1409, 0.99
square_0.75_8_11_5_incon_S2.bmp, square, 8, 11, 0.73, 1.38, 16320, 12240, 1.33, 1389, 1409, 0.99
square_0.75_8_11_6_incon_S1.bmp, square, 8, 11, 0.73, 1.38, 16320, 12240, 1.33, 1421, 1403, 1.01
square_0.75_8_11_6_incon_S2.bmp, square, 8, 11, 0.73, 1.38, 16320, 12240, 1.33, 1421, 1403, 1.01
square_0.75_9_12_1_incon_S1.bmp, square, 9, 12, 0.75, 1.33, 16320, 12240, 1.33, 1481, 1470, 1.01
square_0.75_9_12_1_incon_S2.bmp, square, 9, 12, 0.75, 1.33, 16320, 12240, 1.33, 1481, 1470, 1.01
square_0.75_9_12_2_incon_S1.bmp, square, 9, 12, 0.75, 1.33, 16320, 12240, 1.33, 1468, 1440, 1.02
square_0.75_9_12_2_incon_S2.bmp, square, 9, 12, 0.75, 1.33, 16320, 12240, 1.33, 1468, 1440, 1.02
square_0.75_9_12_3_incon_S1.bmp, square, 9, 12, 0.75, 1.33, 16320, 12240, 1.33, 1492, 1475, 1.01
square_0.75_9_12_3_incon_S2.bmp, square, 9, 12, 0.75, 1.33, 16320, 12240, 1.33, 1492, 1475, 1.01
square_0.75_9_12_4_incon_S1.bmp, square, 9, 12, 0.75, 1.33, 16320, 12240, 1.33, 1475, 1476, 1.0
square_0.75_9_12_4_incon_S2.bmp, square, 9, 12, 0.75, 1.33, 16320, 12240, 1.33, 1475, 1476, 1.0
square_0.75_9_12_5_incon_S1.bmp, square, 9, 12, 0.75, 1.33, 16320, 12240, 1.33, 1467, 1474, 1.0
square_0.75_9_12_5_incon_S2.bmp, square, 9, 12, 0.75, 1.33, 16320, 12240, 1.33, 1467, 1474, 1.0
square_0.75_9_12_6_incon_S1.bmp, square, 9, 12, 0.75, 1.33, 16320, 12240, 1.33, 1480, 1475, 1.0
square_0.75_9_12_6_incon_S2.bmp, square, 9, 12, 0.75, 1.33, 16320, 12240, 1.33, 1480, 1475, 1.0
square_0.75_10_13_1_incon_S1.bmp, square, 10, 13, 0.77, 1.3, 16320, 12240, 1.33, 1556, 1522, 1.02
square_0.75_10_13_1_incon_S2.bmp, square, 10, 13, 0.77, 1.3, 16320, 12240, 1.33, 1556, 1522, 1.02
square_0.75_10_13_2_incon_S1.bmp, square, 10, 13, 0.77, 1.3, 16320, 12240, 1.33, 1542, 1545, 1.0
square_0.75_10_13_2_incon_S2.bmp, square, 10, 13, 0.77, 1.3, 16320, 12240, 1.33, 1542, 1545, 1.0
square_0.75_10_13_3_incon_S1.bmp, square, 10, 13, 0.77, 1.3, 16320, 12240, 1.33, 1536, 1523, 1.01
square_0.75_10_13_3_incon_S2.bmp, square, 10, 13, 0.77, 1.3, 16320, 12240, 1.33, 1536, 1523, 1.01
square_0.75_10_13_4_incon_S1.bmp, square, 10, 13, 0.77, 1.3, 16320, 12240, 1.33, 1508, 1538, 0.98
square_0.75_10_13_4_incon_S2.bmp, square, 10, 13, 0.77, 1.3, 16320, 12240, 1.33, 1508, 1538, 0.98
square_0.75_10_13_5_incon_S1.bmp, square, 10, 13, 0.77, 1.3, 16320, 12240, 1.33, 1558, 1540, 1.01
square_0.75_10_13_5_incon_S2.bmp, square, 10, 13, 0.77, 1.3, 16320, 12240, 1.33, 1558, 1540, 1.01
square_0.75_10_13_6_incon_S1.bmp, square, 10, 13, 0.77, 1.3, 16320, 12240, 1.33, 1553, 1565, 0.99
square_0.75_10_13_6_incon_S2.bmp, square, 10, 13, 0.77, 1.3, 16320, 12240, 1.33, 1553, 1565, 0.99
square_0.75_11_15_1_incon_S1.bmp, square, 11, 15, 0.73, 1.36, 16320, 12240, 1.33, 1600, 1660, 0.96
square_0.75_11_15_1_incon_S2.bmp, square, 11, 15, 0.73, 1.36, 16320, 12240, 1.33, 1600, 1660, 0.96
square_0.75_11_15_2_incon_S1.bmp, square, 11, 15, 0.73, 1.36, 16320, 12240, 1.33, 1623, 1658, 0.98
square_0.75_11_15_2_incon_S2.bmp, square, 11, 15, 0.73, 1.36, 16320, 12240, 1.33, 1623, 1658, 0.98
square_0.75_11_15_3_incon_S1.bmp, square, 11, 15, 0.73, 1.36, 16320, 12240, 1.33, 1611, 1660, 0.97
square_0.75_11_15_3_incon_S2.bmp, square, 11, 15, 0.73, 1.36, 16320, 12240, 1.33, 1611, 1660, 0.97
square_0.75_11_15_4_incon_S1.bmp, square, 11, 15, 0.73, 1.36, 16320, 12240, 1.33, 1623, 1645, 0.99
square_0.75_11_15_4_incon_S2.bmp, square, 11, 15, 0.73, 1.36, 16320, 12240, 1.33, 1623, 1645, 0.99
square_0.75_11_15_5_incon_S1.bmp, square, 11, 15, 0.73, 1.36, 16320, 12240, 1.33, 1652, 1667, 0.99
square_0.75_11_15_5_incon_S2.bmp, square, 11, 15, 0.73, 1.36, 16320, 12240, 1.33, 1652, 1667, 0.99
square_0.75_11_15_6_incon_S1.bmp, square, 11, 15, 0.73, 1.36, 16320, 12240, 1.33, 1623, 1646, 0.99
square_0.75_11_15_6_incon_S2.bmp, square, 11, 15, 0.73, 1.36, 16320, 12240, 1.33, 1623, 1646, 0.99
square_0.66_6_9_1_incon_S1.bmp, square, 6, 9, 0.67, 1.5, 18545, 12240, 1.52, 1270, 1274, 1.0
square_0.66_6_9_1_incon_S2.bmp, square, 6, 9, 0.67, 1.5, 18545, 12240, 1.52, 1270, 1274, 1.0
square_0.66_6_9_2_incon_S1.bmp, square, 6, 9, 0.67, 1.5, 18545, 12240, 1.52, 1252, 1259, 0.99
square_0.66_6_9_2_incon_S2.bmp, square, 6, 9, 0.67, 1.5, 18545, 12240, 1.52, 1252, 1259, 0.99
square_0.66_6_9_3_incon_S1.bmp, square, 6, 9, 0.67, 1.5, 18545, 12240, 1.52, 1261, 1289, 0.98
square_0.66_6_9_3_incon_S2.bmp, square, 6, 9, 0.67, 1.5, 18545, 12240, 1.52, 1261, 1289, 0.98
square_0.66_6_9_4_incon_S1.bmp, square, 6, 9, 0.67, 1.5, 18545, 12240, 1.52, 1291, 1279, 1.01
square_0.66_6_9_4_incon_S2.bmp, square, 6, 9, 0.67, 1.5, 18545, 12240, 1.52, 1291, 1279, 1.01
square_0.66_6_9_5_incon_S1.bmp, square, 6, 9, 0.67, 1.5, 18545, 12240, 1.52, 1282, 1279, 1.0
square_0.66_6_9_5_incon_S2.bmp, square, 6, 9, 0.67, 1.5, 18545, 12240, 1.52, 1282, 1279, 1.0
square_0.66_6_9_6_incon_S1.bmp, square, 6, 9, 0.67, 1.5, 18545, 12240, 1.52, 1301, 1264, 1.03
